first_name;last_name;full_name;code;position;lettre
Marcus;Morris;Marcus Morris;morrima;F;m
Marcus;Smart;Marcus Smart;smartma;PG;s
Markelle;Fultz;Markelle Fultz;fultzma;PG;f
Markieff;Morris;Markieff Morris;morrima;PF;m
Markus;Howard;Markus Howard;howarma;SG;h
Marques;Bolden;Marques Bolden;boldema;C;b
Marquese;Chriss;Marquese Chriss;chrisma;PF;c
Marvin;Bagley;Marvin Bagley;baglema;PF;b
Mason;Jones;Mason Jones;jonesma;G;j
Mason;Plumlee;Mason Plumlee;plumlma;PF;p
Matisse;Thybulle;Matisse Thybulle;thybuma;SF;t
Matt;Dellavedova;Matt Dellavedova;dellama;G;d
Matt;Thomas;Matt Thomas;thomama;G;t
Maurice;Harkless;Maurice Harkless;harklma;F;h
Max;Strus;Max Strus;strusma;G;s
Maxi;Kleber;Maxi Kleber;klebema;PF;k
Meyers;Leonard;Meyers Leonard;leoname;C;l
Mfiondu;Kabengele;Mfiondu Kabengele;kabenmf;SF;k
Michael;Carter-Williams;Michael Carter-Williams;cartemi;PG;c
Michael;Porter,;Michael Porter,;portemi;PF;p
Mikal;Bridges;Mikal Bridges;bridgmi;SG;b
Mike;Conley;Mike Conley;conlemi;PG;c
Mike;Muscala;Mike Muscala;muscami;FC;m
Mike;Scott;Mike Scott;scottmi;PF;s
Miles;Bridges;Miles Bridges;bridgmi;SF;b
Mitchell;Robinson;Mitchell Robinson;robinmi;C;r
Miye;Oni;Miye Oni;onimi;SF;o
Moe;Wagner;Moe Wagner;wagnemo;PF;w
Mohamed;Bamba;Mohamed Bamba;bambamo;C;b
Monte;Morris;Monte Morris;morrimo;G;m
Montrezl;Harrell;Montrezl Harrell;harremo;F;h
Moses;Brown;Moses Brown;brownmo;C;b
Mychal;Mulder;Mychal Mulder;muldemy;GF;m
Myles;Turner;Myles Turner;turnemy;FC;t
Naji;Marshall;Naji Marshall;marshna;SF;m
Nassir;Little;Nassir Little;littlna;SF;l
Nate;Darling;Nate Darling;darlina;SG;d
Nate;Hinton;Nate Hinton;hintona;SF;h
Nathan;Knight;Nathan Knight;knighna;PF;k
Naz;Reid;Naz Reid;reidna;C;r
Nemanja;Bjelica;Nemanja Bjelica;bjeline;PF;b
Nerlens;Noel;Nerlens Noel;noelne;FC;n
Nick;Richards;Nick Richards;richani;C;r
Nickeil;Alexander-Walker;Nickeil Alexander-Walker;alexani;SG;a
Nico;Mannion;Nico Mannion;mannini;PG;m
Nicolas;Batum;Nicolas Batum;batumni;F;b
Nicolas;Claxton;Nicolas Claxton;claxtni;C;c
Nicolo;Melli;Nicolo Melli;mellini;PF;m
Nikola;Jokic;Nikola Jokic;jokicni;C;j
Nikola;Vucevic;Nikola Vucevic;vucevni;PF;v
Norman;Powell;Norman Powell;powelno;SG;p
Obi;Toppin;Obi Toppin;toppiob;F;t
Ogugua;Anunoby;Ogugua Anunoby;anunoog;SF;a
Onyeka;Okongwu;Onyeka Okongwu;okongon;PF;o
Otto;Porter;Otto Porter;porteot;SF;p
P.J.;Dozier;P.J. Dozier;doziep.;PG;d
P.J.;Tucker;P.J. Tucker;tuckep.;SF;t
P.J.;Washington;P.J. Washington;waship.;PF;w
Pascal;Siakam;Pascal Siakam;siakapa;F;s
Pat;Connaughton;Pat Connaughton;connapa;SF;c
Patrick;Beverley;Patrick Beverley;beverpa;PG;b
Patrick;McCaw;Patrick McCaw;mccawpa;G;m
Patrick;Patterson;Patrick Patterson;pattepa;F;p
Patrick;Williams;Patrick Williams;willipa;G;w
Patty;Mills;Patty Mills;millspa;G;m
Paul;George;Paul George;georgpa;GF;g
Paul;Millsap;Paul Millsap;millspa;FC;m
Paul;Reed,;Paul Reed,;reed,pa;F;r
Paul;Watson;Paul Watson;watsopa;GF;w
Payton;Pritchard;Payton Pritchard;pritcpa;PG;p
Precious;Achiuwa;Precious Achiuwa;achiupr;SF;a
Quinn;Cook;Quinn Cook;cookqu;PG;c
Quinndary;Weatherspoon;Quinndary Weatherspoon;weathqu;SG;w
R.J.;Barrett;R.J. Barrett;barrer.;SG;b
R.J.;Hampton;R.J. Hampton;hamptr.;G;h
Rajon;Rondo;Rajon Rondo;rondora;PG;r
Raulzinho;Neto;Raulzinho Neto;netora;PG;n
Reggie;Bullock;Reggie Bullock;bullore;SG;b
Reggie;Jackson;Reggie Jackson;jacksre;G;j
