;full_name;Tm;POS;GS
137;Draymond Green;gs;PF;1.0
138;Draymond Green;gs;PF;1.0
139;Josh Green;dal;SG;1.0
140;Josh Green;dal;SG;1.0
141;Josh Green;dal;SG;1.0
142;Josh Green;dal;SG;1.0
143;Danny Green;phi;SF;1.0
144;Danny Green;phi;SF;1.0
145;Danny Green;phi;SF;1.0
146;Danny Green;phi;SF;1.0
147;Javonte Green;chi;SF;1.0
148;Javonte Green;chi;SF;1.0
149;Javonte Green;chi;SF;1.0
150;Javonte Green;chi;SF;1.0
151;JaMychal Green;den;PF;1.0
152;JaMychal Green;den;PF;1.0
153;JaMychal Green;den;PF;1.0
154;JaMychal Green;den;PF;1.0
155;Jeff Green;den;PF;1.0
156;Jeff Green;den;PF;1.0
157;Jeff Green;den;PF;1.0
158;Jeff Green;den;PF;1.0
159;Danuel House;hou;SF;0.0
160;Kenyon Martin;hou;F;0.0
161;Cody Martin;cha;SF;0.0
162;Kelan Martin;ind;SG;0.0
163;Caleb Martin;mia;SF;0.0
164;Garrison Mathews;hou;G;0.0
165;Daishen Nix;hou;SG;0.0
166;David Nwaba;hou;SF;0.0
167;Kevin Porter;hou;SG;1.0
168;Kevin Porter;hou;SG;1.0
169;Otto Porter;gs;SF;1.0
170;Otto Porter;gs;SF;1.0
171;Michael Porter;den;SF;1.0
172;Michael Porter;den;SF;1.0
173;Alperen Sengun;hou;C;0.0
174;JaeSean Tate;hou;SF;1.0
175;Daniel Theis;hou;C;1.0
176;John Wall;hou;PG;0.0
177;Christian Wood;hou;C;1.0
178;Nickeil Alexander-Walker;no;SG;1.0
179;Jose Alvarado;no;PG;0.0
180;Devonte Graham;no;PG;1.0
181;Josh Hart;no;SG;0.0
182;Jaxson Hayes;no;C;1.0
183;Killian Hayes;det;PG;1.0
184;Willy Hernangomez;no;C;0.0
185;Juancho Hernangomez;bos;F;0.0
186;Daulton Hommes;no;SF;0.0
187;Brandon Ingram;no;SF;1.0
188;Kira Lewis;no;PG;0.0
189;Scottie Lewis;cha;SG;0.0
190;Didi Louzada;no;SF;0.0
191;Naji Marshall;no;SF;0.0
192;Trey MurphyI;no;SG;0.0
193;Tomas Satoransky;no;SG;0.0
194;Garrett Temple;no;SF;0.0
195;Jonas Valanciunas;no;C;1.0
196;Zion Williamson;no;PF;0.0
197;Nemanja Bjelica;gs;PF;0.0
198;Chris Chiozza;gs;G;0.0
199;Stephen Curry;gs;PG;1.0
200;Stephen Curry;gs;PG;1.0
201;Seth Curry;phi;SG;1.0
202;Seth Curry;phi;SG;1.0
203;Jeff Dowtin;gs;PG;0.0
204;Andre Iguodala;gs;F;0.0
205;Jonathan Kuminga;gs;PF;0.0
206;Damion Lee;gs;SG;0.0
207;Saben Lee;det;PG;0.0
208;Kevon Looney;gs;C;1.0
209;Moses Moody;gs;SG;0.0
210;Gary Payton;gs;G;0.0
211;Elfrid Payton;pho;PG;0.0
212;Jordan Poole;gs;SG;1.0
213;Klay Thompson;gs;SG;0.0
214;Tristan Thompson;sac;C;0.0
215;Juan Toscano-Anderson;gs;SF;0.0
216;Andrew Wiggins;gs;SF;1.0
217;Aaron Wiggins;okc;SG;1.0
218;James Wiseman;gs;C;0.0
219;Deandre Ayton;pho;C;1.0
220;Devin Booker;pho;SG;1.0
221;Mikal Bridges;pho;SF;1.0
222;Mikal Bridges;pho;SF;1.0
223;Miles Bridges;cha;SF;1.0
224;Miles Bridges;cha;SF;1.0
225;Jae Crowder;pho;PF;1.0
226;Chandler Hutchison;pho;SF;0.0
227;Frank Kaminsky;pho;PF;0.0
228;JaVale McGee;pho;C;0.0
229;Abdel Nader;pho;SF;0.0
230;Chris Paul;pho;PG;1.0
231;Cameron Payne;pho;PG;0.0
232;Dario Saric;pho;PF;0.0
233;Landry Shamet;pho;SG;0.0
234;Ish Wainright;pho;F;0.0
235;Darius Bazley;okc;PF;1.0
236;Gabriel Deck;okc;SF;0.0
237;Luguentz Dort;okc;SF;1.0
238;Derrick Favors;okc;C;1.0
239;Josh Giddey;okc;SG;1.0
240;Shai Gilgeous-Alexander;okc;PG;1.0
241;Ty Jerome;okc;SG;0.0
242;Vit Krejci;okc;SF;0.0
243;Theo Maledon;okc;PG;0.0
244;Tre Mann;okc;PG;0.0
245;Terance Mann;lac;SG;0.0
246;Mike Muscala;okc;C;0.0
247;Aleksej Pokusevski;okc;PF;0.0
248;Jeremiah Robinson-Earl;okc;PF;0.0
249;Isaiah Roby;okc;C;0.0
250;Paul Watson;okc;SG;0.0
251;Jaylen Brown;bos;SG;1.0
252;Jaylen Brown;bos;SG;1.0
253;Bruce Brown;bkn;SF;1.0
254;Bruce Brown;bkn;SF;1.0
255;Moses Brown;dal;C;1.0
256;Moses Brown;dal;C;1.0
257;Sterling Brown;dal;SF;1.0
258;Sterling Brown;dal;SF;1.0
259;Troy Brown;chi;SF;1.0
260;Troy Brown;chi;SF;1.0
