;Key;annee;cluster
232;Anthony Gill;2022;0
233;Anthony Lamb;2021;0
234;Armoni Brooks;2021;2
235;Armoni Brooks;2022;4
236;Austin Reaves;2022;4
237;Austin Rivers;2020;4
238;Austin Rivers;2021;4
239;Austin Rivers;2022;4
240;Avery Bradley;2020;3
241;Avery Bradley;2021;4
242;Avery Bradley;2022;3
243;Ayo Dosunmu;2022;4
244;Bam Adebayo;2020;1
245;Bam Adebayo;2021;4
246;Bam Adebayo;2022;4
247;Ben McLemore;2020;3
248;Ben McLemore;2021;4
249;Ben McLemore;2022;4
250;Ben Simmons;2020;3
251;Ben Simmons;2021;3
252;Blake Griffin;2020;3
253;Blake Griffin;2021;1
254;Blake Griffin;2022;1
255;Boban Marjanovic;2020;0
256;Boban Marjanovic;2021;4
257;Boban Marjanovic;2022;0
258;Bobby Portis;2020;4
259;Bobby Portis;2021;4
260;Bobby Portis;2022;4
261;Bogdan Bogdanovic;2020;1
262;Bogdan Bogdanovic;2021;1
263;Bogdan Bogdanovic;2022;3
264;Bojan Bogdanovic;2020;1
265;Bojan Bogdanovic;2021;1
266;Bojan Bogdanovic;2022;1
267;Bol Bol;2020;0
268;Bol Bol;2021;0
269;Bol Bol;2022;0
270;Bradley Beal;2020;2
271;Bradley Beal;2021;3
272;Brandon Boston;2022;1
273;Brandon Clarke;2020;0
274;Brandon Clarke;2021;4
275;Brandon Clarke;2022;0
276;Brandon Goodwin;2020;4
277;Brandon Goodwin;2021;1
278;Brandon Goodwin;2022;1
279;Brandon Ingram;2020;2
280;Brandon Ingram;2021;3
281;Brandon Ingram;2022;1
282;Brodric Thomas;2021;0
283;Brodric Thomas;2022;0
284;Brook Lopez;2020;1
285;Brook Lopez;2021;1
286;Bruce Brown;2020;4
287;Bruce Brown;2021;4
288;Bruce Brown;2022;4
289;Bruno Fernando;2020;0
290;Bruno Fernando;2021;2
291;Bruno Fernando;2022;0
292;Bryn Forbes;2020;3
293;Bryn Forbes;2021;4
294;Bryn Forbes;2022;4
295;Buddy Hield;2020;1
296;Buddy Hield;2021;3
297;Buddy Hield;2022;4
298;CJ Elleby;2021;0
299;CJ Elleby;2022;0
300;CJ McCollum;2020;3
301;CJ McCollum;2021;3
302;CJ McCollum;2022;3
303;Cam Reddish;2020;1
304;Cam Reddish;2021;3
305;Cam Reddish;2022;4
306;Cameron Johnson;2020;4
307;Cameron Johnson;2021;4
308;Cameron Johnson;2022;4
309;Cameron Payne;2020;1
310;Cameron Payne;2021;4
311;Cameron Payne;2022;4
312;Caris LeVert;2020;3
313;Caris LeVert;2021;3
314;Caris LeVert;2022;3
315;Carmelo Anthony;2020;1
316;Carmelo Anthony;2021;4
317;Carmelo Anthony;2022;0
318;Carsen Edwards;2020;4
319;Carsen Edwards;2021;3
320;Cassius Stanley;2021;0
321;Cassius Stanley;2022;2
322;Cassius Winston;2021;4
323;Cedi Osman;2020;3
324;Cedi Osman;2021;4
325;Cedi Osman;2022;4
326;Chandler Hutchison;2020;4
327;Chandler Hutchison;2021;4
328;Chandler Hutchison;2022;0
329;Charles Bassey;2022;4
330;Charlie Brown;2021;4
331;Charlie Brown;2022;0
332;Chasson Randle;2020;4
333;Chasson Randle;2021;4
334;Chimezie Metu;2020;0
335;Chimezie Metu;2021;4
336;Chimezie Metu;2022;1
337;Chris Boucher;2020;4
338;Chris Boucher;2021;4
339;Chris Boucher;2022;4
340;Chris Chiozza;2020;4
341;Chris Chiozza;2021;0
342;Chris Chiozza;2022;2
343;Chris Duarte;2022;1
344;Chris Paul;2020;3
345;Chris Paul;2021;3
346;Chris Paul;2022;3
347;Christian Wood;2020;4
348;Christian Wood;2021;1
