;advers;age;cluster
137;Venus Williams;36.3148528405;9
138;Venus Williams;36.2765229295;9
139;Venus Williams;35.9315537303;9
140;Venus Williams;36.027378507899996;9
141;Venus Williams;36.1998631075;9
142;Venus Williams;35.5865845311;9
143;Venus Williams;35.7207392197;9
144;Venus Williams;35.7590691307;9
145;Venus Williams;35.8932238193;9
146;Venus Williams;36.295687885;9
147;Venus Williams;36.1423682409;9
148;Venus Williams;37.138945927399995;9
149;Venus Williams;37.3497604381;9
150;Venus Williams;37.3497604381;9
151;Venus Williams;37.3497604381;9
152;Venus Williams;36.5448323066;9
153;Venus Williams;37.311430527;9
154;Venus Williams;36.9472963723;9
155;Venus Williams;36.9472963723;9
156;Venus Williams;36.9472963723;9
157;Venus Williams;37.043121149899996;9
158;Venus Williams;37.043121149899996;9
159;Venus Williams;37.043121149899996;9
160;Venus Williams;37.043121149899996;9
161;Venus Williams;37.043121149899996;9
162;Venus Williams;37.043121149899996;9
163;Venus Williams;37.196440794000004;9
164;Venus Williams;37.196440794000004;9
165;Venus Williams;37.196440794000004;9
166;Venus Williams;37.196440794000004;9
167;Venus Williams;37.196440794000004;9
168;Venus Williams;36.5831622177;9
169;Venus Williams;36.5831622177;9
170;Venus Williams;36.5831622177;9
171;Venus Williams;36.5831622177;9
172;Venus Williams;36.5831622177;9
173;Venus Williams;36.5831622177;9
174;Venus Williams;36.7173169062;9
175;Venus Williams;36.7173169062;9
176;Venus Williams;36.7173169062;9
177;Venus Williams;36.755646817199995;9
178;Venus Williams;36.755646817199995;9
179;Venus Williams;36.755646817199995;9
180;Venus Williams;36.755646817199995;9
181;Venus Williams;36.908966461300004;9
182;Venus Williams;36.908966461300004;9
183;Venus Williams;36.908966461300004;9
184;Venus Williams;37.158110883;9
185;Venus Williams;36.7939767283;9
186;Venus Williams;37.138945927399995;9
187;Venus Williams;37.3497604381;9
188;Venus Williams;37.3497604381;9
189;Venus Williams;36.5448323066;9
190;Venus Williams;37.311430527;9
191;Venus Williams;36.6214921287;9
192;Venus Williams;36.9472963723;9
193;Venus Williams;37.196440794000004;9
194;Venus Williams;36.5831622177;9
195;Venus Williams;36.7173169062;9
196;Venus Williams;36.755646817199995;9
197;Venus Williams;36.908966461300004;9
198;Venus Williams;37.158110883;9
199;Venus Williams;38.1163586585;9
200;Venus Williams;38.135523614;9
201;Venus Williams;38.135523614;9
202;Venus Williams;38.0396988364;9
203;Venus Williams;38.0396988364;9
204;Venus Williams;38.1930184805;9
205;Venus Williams;38.1930184805;9
206;Venus Williams;37.7138945927;9
207;Venus Williams;37.7138945927;9
208;Venus Williams;37.7138945927;9
209;Venus Williams;37.7138945927;9
210;Venus Williams;37.7522245038;9
211;Venus Williams;37.7522245038;9
212;Venus Williams;37.7522245038;9
213;Venus Williams;37.9055441478;9
214;Venus Williams;37.6509240246;9
215;Venus Williams;37.6509240246;9
216;Venus Williams;38.1163586585;9
217;Venus Williams;38.135523614;9
218;Venus Williams;37.9438740589;9
219;Venus Williams;38.0396988364;9
220;Venus Williams;38.1930184805;9
221;Venus Williams;37.579739904200004;9
222;Venus Williams;37.5605749487;9
223;Venus Williams;37.7138945927;9
224;Venus Williams;37.7522245038;9
225;Venus Williams;37.9055441478;9
226;Venus Williams;37.8863791923;9
227;Venus Williams;38.537987679699995;9
228;Venus Williams;38.537987679699995;9
229;Venus Williams;38.9979466119;9
230;Venus Williams;38.9979466119;9
231;Venus Williams;39.189596167;9
232;Venus Williams;38.5763175907;9
233;Venus Williams;38.5763175907;9
234;Venus Williams;38.7104722793;9
235;Venus Williams;38.7104722793;9
236;Venus Williams;38.7104722793;9
237;Venus Williams;38.7104722793;9
238;Venus Williams;38.748802190300005;9
239;Venus Williams;38.748802190300005;9
240;Venus Williams;38.748802190300005;9
241;Venus Williams;38.9021218344;9
242;Venus Williams;39.2854209446;9
243;Venus Williams;39.151266256;9
244;Venus Williams;39.151266256;9
245;Venus Williams;39.151266256;9
246;Venus Williams;39.112936345;9
247;Venus Williams;39.132101300500004;9
248;Venus Williams;38.537987679699995;9
249;Venus Williams;38.9979466119;9
250;Venus Williams;39.266255989;9
251;Venus Williams;39.3045859001;9
252;Venus Williams;38.9404517454;9
253;Venus Williams;39.036276522899996;9
254;Venus Williams;39.189596167;9
255;Venus Williams;38.5763175907;9
256;Venus Williams;38.7104722793;9
257;Venus Williams;38.748802190300005;9
258;Venus Williams;38.9021218344;9
259;Venus Williams;39.2854209446;9
260;Venus Williams;39.151266256;9
261;Venus Williams;40.1478439425;9
262;Venus Williams;39.5920602327;9
263;Venus Williams;39.6878850103;9
264;Venus Williams;39.707049965799996;9
265;Venus Williams;40.1478439425;9
266;Venus Williams;40.1861738535;9
267;Venus Williams;40.205338809000004;9
268;Venus Williams;40.243668720100004;9
269;Venus Williams;40.2819986311;9
270;Venus Williams;40.6242299795;9
271;Venus Williams;40.6461327858;9
272;Venus Williams;41.029431896;9
273;Venus Williams;40.6242299795;9
274;Venus Williams;40.6461327858;9
