,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,url,joueur,annee
0,1,1.0,2021-10-19,35-315,LAL,,GSW,L (-7),0,12:49,1,2,0.5,0.0,0.0,,3,4,0.75,0.0,6.0,6,0,0.0,0.0,2.0,2,5,2.6,https://www.basketball-reference.com/players/a/howardw01/gamelog/2022,howardw01,2022
0,1,1.0,2021-10-19,36-293,LAL,,GSW,L (-7),1,36:45,13,23,0.565,5.0,11.0,0.455,3,6,0.5,1.0,10.0,11,5,1.0,1.0,4.0,5,34,24.8,https://www.basketball-reference.com/players/a/jamesle01/gamelog/2022,jamesle01,2022
0,1,1.0,2021-10-19,33-090,LAL,,GSW,L (-7),1,12:55,1,1,1.0,0.0,0.0,,0,0,,0.0,2.0,2,1,1.0,0.0,0.0,3,2,2.8,https://www.basketball-reference.com/players/a/jordade01/gamelog/2022,jordade01,2022
0,1,1.0,2021-10-19,23-257,LAL,,GSW,L (-7),0,18:44,2,5,0.4,2.0,4.0,0.5,0,0,,0.0,3.0,3,1,2.0,0.0,1.0,1,6,5.5,https://www.basketball-reference.com/players/a/monkma01/gamelog/2022,monkma01,2022
0,1,,2021-10-19,26-077,LAL,,GSW,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,,,,Inactive,Inactive,Inactive,,,Inactive,Inactive,,,,Inactive,Inactive,Inactive,https://www.basketball-reference.com/players/a/nunnke01/gamelog/2022,nunnke01,2022
0,1,,2021-10-19,23-143,LAL,,GSW,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,Did Not Play,Did Not Play,Did Not Play,,,Did Not Play,Did Not Play,,,,Did Not Play,Did Not Play,Did Not Play,https://www.basketball-reference.com/players/a/reaveau01/gamelog/2022,reaveau01,2022
0,1,1.0,2021-10-19,35-239,LAL,,GSW,L (-7),0,19:49,1,4,0.25,1.0,3.0,0.33299999999999996,0,0,,0.0,0.0,0,5,2.0,0.0,3.0,2,3,2.3,https://www.basketball-reference.com/players/a/rondora01/gamelog/2022,rondora01,2022
0,1,1.0,2021-10-19,32-341,LAL,,GSW,L (-7),1,35:08,4,13,0.308,0.0,4.0,0.0,0,0,,1.0,4.0,5,4,0.0,0.0,4.0,4,8,-0.4,https://www.basketball-reference.com/players/a/westbru01/gamelog/2022,westbru01,2022
0,1,1.0,2021-10-19,30-327,LAL,,GSW,L (-7),0,8:14,2,3,0.667,2.0,3.0,0.667,0,0,,1.0,0.0,1,1,0.0,0.0,1.0,2,6,4.3,https://www.basketball-reference.com/players/a/bradlav01/gamelog/2022,bradlav01,2022
0,1,1.0,2021-10-19,33-163,GSW,@,LAL,W (+7),0,25:56,6,7,0.857,1.0,1.0,1.0,2,2,1.0,2.0,9.0,11,4,1.0,0.0,1.0,2,15,18.6,https://www.basketball-reference.com/players/a/bjeline01/gamelog/2022,bjeline01,2022
0,1,,2021-10-19,25-332,GSW,@,LAL,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,,,,Inactive,Inactive,Inactive,,,Inactive,Inactive,,,,Inactive,Inactive,Inactive,https://www.basketball-reference.com/players/a/chiozch01/gamelog/2022,chiozch01,2022
0,1,1.0,2021-10-19,33-219,GSW,@,LAL,W (+7),1,36:11,5,21,0.23800000000000002,2.0,8.0,0.25,9,9,1.0,1.0,9.0,10,10,3.0,0.0,4.0,1,21,17.3,https://www.basketball-reference.com/players/a/curryst01/gamelog/2022,curryst01,2022
0,1,1.0,2021-10-19,31-229,GSW,@,LAL,W (+7),1,29:56,2,5,0.4,0.0,0.0,,2,4,0.5,3.0,5.0,8,6,1.0,0.0,5.0,3,6,5.1,https://www.basketball-reference.com/players/a/greendr01/gamelog/2022,greendr01,2022
0,1,1.0,2021-10-19,37-264,GSW,@,LAL,W (+7),0,22:58,4,7,0.5710000000000001,2.0,5.0,0.4,2,2,1.0,0.0,1.0,1,2,0.0,1.0,0.0,1,12,10.7,https://www.basketball-reference.com/players/a/iguodan01/gamelog/2022,iguodan01,2022
0,1,,2021-10-19,19-013,GSW,@,LAL,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,,,,Inactive,Inactive,Inactive,,,Inactive,Inactive,,,,Inactive,Inactive,Inactive,https://www.basketball-reference.com/players/a/kuminjo01/gamelog/2022,kuminjo01,2022
0,1,1.0,2021-10-19,28-363,GSW,@,LAL,W (+7),0,29:04,4,10,0.4,1.0,5.0,0.2,6,6,1.0,0.0,1.0,1,2,0.0,0.0,0.0,3,15,10.1,https://www.basketball-reference.com/players/a/leeda03/gamelog/2022,leeda03,2022
0,1,1.0,2021-10-19,25-255,GSW,@,LAL,W (+7),1,15:28,3,5,0.6,0.0,0.0,,1,2,0.5,2.0,2.0,4,1,0.0,1.0,1.0,0,7,6.7,https://www.basketball-reference.com/players/a/looneke01/gamelog/2022,looneke01,2022
0,1,1.0,2021-10-19,19-141,GSW,@,LAL,W (+7),0,5:34,1,3,0.33299999999999996,0.0,0.0,,0,0,,0.0,2.0,2,0,0.0,0.0,0.0,0,2,0.9,https://www.basketball-reference.com/players/a/moodymo01/gamelog/2022,moodymo01,2022
0,1,1.0,2021-10-19,22-122,GSW,@,LAL,W (+7),1,25:04,8,18,0.444,4.0,11.0,0.364,0,1,0.0,0.0,2.0,2,3,1.0,0.0,2.0,2,20,11.1,https://www.basketball-reference.com/players/a/poolejo01/gamelog/2022,poolejo01,2022
0,1,1.0,2021-10-19,28-138,GSW,@,LAL,W (+7),0,11:35,1,3,0.33299999999999996,1.0,2.0,0.5,2,2,1.0,0.0,1.0,1,0,2.0,0.0,1.0,2,5,3.8,https://www.basketball-reference.com/players/a/porteot01/gamelog/2022,porteot01,2022
0,1,,2021-10-19,31-253,GSW,@,LAL,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,,,,Inactive,Inactive,Inactive,,,Inactive,Inactive,,,,Inactive,Inactive,Inactive,https://www.basketball-reference.com/players/a/thompkl01/gamelog/2022,thompkl01,2022
0,1,1.0,2021-10-19,28-192,GSW,@,LAL,W (+7),0,12:23,2,3,0.667,1.0,2.0,0.5,1,2,0.5,0.0,3.0,3,1,0.0,0.0,1.0,1,6,4.5,https://www.basketball-reference.com/players/a/toscaju01/gamelog/2022,toscaju01,2022
0,1,1.0,2021-10-19,26-238,GSW,@,LAL,W (+7),1,25:44,5,10,0.5,2.0,5.0,0.4,0,0,,1.0,6.0,7,1,1.0,0.0,2.0,3,12,8.0,https://www.basketball-reference.com/players/a/wiggian01/gamelog/2022,wiggian01,2022
0,1,,2021-10-19,20-202,GSW,@,LAL,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,,,,Inactive,Inactive,Inactive,,,Inactive,Inactive,,,,Inactive,Inactive,Inactive,https://www.basketball-reference.com/players/a/wisemja01/gamelog/2022,wisemja01,2022
