,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,url,joueur,annee
0,1,1,2002-10-30,24-304,NJN,,ATL,W (+11),1,34:01,6,14,.429,0,0,,3,4,.750,2,9,11,1,1,2,3,3,15,10.2,+2,https://www.basketball-reference.com/players/a/martike01/gamelog/2003,martike01,2003
1,2,2,2002-11-01,24-306,NJN,,IND,W (+11),1,30:37,5,11,.455,0,0,,1,2,.500,1,6,7,2,0,1,1,3,11,7.3,+18,https://www.basketball-reference.com/players/a/martike01/gamelog/2003,martike01,2003
2,3,3,2002-11-02,24-307,NJN,@,WAS,W (+8),1,33:12,6,11,.545,0,0,,0,0,,0,8,8,2,3,2,3,5,12,9.9,+5,https://www.basketball-reference.com/players/a/martike01/gamelog/2003,martike01,2003
3,4,4,2002-11-04,24-309,NJN,,MIN,W (+24),1,27:06,5,9,.556,0,0,,3,4,.750,0,4,4,0,2,2,2,2,13,10.1,+17,https://www.basketball-reference.com/players/a/martike01/gamelog/2003,martike01,2003
4,5,5,2002-11-06,24-311,NJN,@,MIL,L (-6),1,37:43,5,14,.357,0,0,,1,2,.500,1,7,8,1,1,0,3,3,11,3.1,-3,https://www.basketball-reference.com/players/a/martike01/gamelog/2003,martike01,2003
5,6,6,2002-11-08,24-313,NJN,,LAC,W (+14),1,36:21,8,16,.500,0,0,,0,2,.000,1,8,9,3,2,2,0,4,16,14.2,+17,https://www.basketball-reference.com/players/a/martike01/gamelog/2003,martike01,2003
6,7,7,2002-11-09,24-314,NJN,@,CHI,L (-7),1,37:45,13,26,.500,0,0,,3,4,.750,2,6,8,0,0,0,3,5,29,13.8,+2,https://www.basketball-reference.com/players/a/martike01/gamelog/2003,martike01,2003
7,8,8,2002-11-13,24-318,NJN,,SAS,W (+9),1,32:49,3,10,.300,0,1,.000,2,3,.667,0,3,3,2,0,0,3,5,8,-0.9,+4,https://www.basketball-reference.com/players/a/martike01/gamelog/2003,martike01,2003
8,9,9,2002-11-15,24-320,NJN,@,MIA,W (+9),1,17:24,2,5,.400,0,0,,1,2,.500,1,2,3,0,0,0,0,4,5,1.6,+3,https://www.basketball-reference.com/players/a/martike01/gamelog/2003,martike01,2003
9,10,10,2002-11-16,24-321,NJN,,DAL,L (-8),1,36:42,4,9,.444,0,0,,3,4,.750,1,6,7,1,0,0,5,5,11,2.1,-9,https://www.basketball-reference.com/players/a/martike01/gamelog/2003,martike01,2003
10,11,11,2002-11-18,24-323,NJN,,DEN,W (+20),1,29:22,6,10,.600,1,2,.500,2,2,1.000,0,5,5,2,2,2,2,4,15,13.1,+27,https://www.basketball-reference.com/players/a/martike01/gamelog/2003,martike01,2003
11,12,12,2002-11-20,24-325,NJN,@,BOS,L (-17),1,32:48,4,14,.286,1,1,1.000,1,3,.333,0,4,4,1,1,1,1,4,10,2.0,-19,https://www.basketball-reference.com/players/a/martike01/gamelog/2003,martike01,2003
