,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,url,joueur,annee
1,2,2,2004-11-05,36-105,BOS,,IND,L (-6),1,38:10,5,9,.556,0,2,.000,4,4,1.000,0,3,3,10,3,1,4,2,14,16.5,+2,https://www.basketball-reference.com/players/a/paytoga01/gamelog/2005,paytoga01,2005
2,3,3,2004-11-06,36-106,BOS,@,NYK,W (+34),1,28:31,4,9,.444,1,2,.500,0,0,,0,0,0,6,2,0,2,3,9,7.3,+22,https://www.basketball-reference.com/players/a/paytoga01/gamelog/2005,paytoga01,2005
3,4,4,2004-11-10,36-110,BOS,,POR,W (+2),1,38:54,6,11,.545,1,4,.250,2,2,1.000,0,0,0,6,0,0,1,2,15,12.1,+1,https://www.basketball-reference.com/players/a/paytoga01/gamelog/2005,paytoga01,2005
4,5,5,2004-11-12,36-112,BOS,,CHA,W (+17),1,30:11,5,11,.455,2,2,1.000,3,4,.750,1,3,4,4,0,0,3,2,15,9.5,+13,https://www.basketball-reference.com/players/a/paytoga01/gamelog/2005,paytoga01,2005
5,6,6,2004-11-17,36-117,BOS,@,WAS,L (-5),1,44:03,6,15,.400,1,3,.333,4,5,.800,1,0,1,7,2,0,3,0,17,13.1,+1,https://www.basketball-reference.com/players/a/paytoga01/gamelog/2005,paytoga01,2005
6,7,7,2004-11-19,36-119,BOS,,SAS,L (-8),1,41:13,7,14,.500,0,2,.000,2,2,1.000,0,5,5,8,2,0,4,0,16,14.1,-6,https://www.basketball-reference.com/players/a/paytoga01/gamelog/2005,paytoga01,2005
7,8,8,2004-11-21,36-121,BOS,,SEA,W (+19),1,34:12,5,10,.500,0,2,.000,2,5,.400,2,3,5,7,3,0,5,1,12,10.6,+17,https://www.basketball-reference.com/players/a/paytoga01/gamelog/2005,paytoga01,2005
8,9,9,2004-11-23,36-123,BOS,@,IND,L (-10),1,35:35,6,13,.462,1,4,.250,1,4,.250,0,1,1,8,2,0,1,1,14,12.6,-10,https://www.basketball-reference.com/players/a/paytoga01/gamelog/2005,paytoga01,2005
9,10,10,2004-11-24,36-124,BOS,@,PHI,L (-13),1,19:01,1,4,.250,0,2,.000,0,0,,0,0,0,4,0,0,1,3,2,0.2,-23,https://www.basketball-reference.com/players/a/paytoga01/gamelog/2005,paytoga01,2005
10,11,11,2004-11-26,36-126,BOS,,CLE,L (-2),1,31:16,6,10,.600,0,1,.000,2,4,.500,2,2,4,10,2,0,1,0,14,18.6,-3,https://www.basketball-reference.com/players/a/paytoga01/gamelog/2005,paytoga01,2005
