;Coach;Tm;Unnamed: 2;#;#.1;Unnamed: 5;G;W;L;G.1;W.1;L.1;G.2;W.2;L.2;W%;Unnamed: 16;G.3;W.3;L.3;G.4;W.4;L.4;G.5;W.5;L.5;annee
8;Michael Malone;DEN;;6;8;;72;47;25;473;266;207;579;305;274;0.527;;10.0;4.0;6.0;43.0;20.0;23.0;43.0;20.0;23.0;2021
9;Dwane Casey;DET;;3;12;;72;20;52;220;81;139;900;454;446;0.504;;;;;4.0;0.0;4.0;55.0;21.0;34.0;2021
10;Steve Kerr;GSW;;7;7;;72;39;33;547;376;171;547;376;171;0.687;;;;;105.0;77.0;28.0;105.0;77.0;28.0;2021
11;Stephen Silas;HOU;;1;1;;72;17;55;72;17;55;72;17;55;0.23600000000000002;;;;;;;;;;;2021
12;Nate Bjorkgren;IND;;1;1;;72;34;38;72;34;38;72;34;38;0.47200000000000003;;;;;;;;;;;2021
13;Tyronn Lue;LAC;;1;5;;72;47;25;72;47;25;283;175;108;0.618;;19.0;10.0;9.0;19.0;10.0;9.0;80.0;51.0;29.0;2021
14;Frank Vogel;LAL;;2;10;;72;42;30;143;94;49;738;398;340;0.539;;6.0;2.0;4.0;27.0;18.0;9.0;88.0;49.0;39.0;2021
15;Taylor Jenkins;MEM;;2;2;;72;38;34;145;72;73;145;72;73;0.49700000000000005;;5.0;1.0;4.0;5.0;1.0;4.0;5.0;1.0;4.0;2021
16;Erik Spoelstra;MIA;;13;13;;72;40;32;1031;607;424;1031;607;424;0.589;;4.0;0.0;4.0;143.0;85.0;58.0;143.0;85.0;58.0;2021
17;Mike Budenholzer;MIL;;3;8;;72;46;26;227;162;65;637;375;262;0.589;;23.0;16.0;7.0;48.0;31.0;17.0;87.0;48.0;39.0;2021
18;Ryan Saunders;MIN;;3;3;;31;7;24;137;43;94;137;43;94;0.314;;;;;;;;;;;2021
19;Chris Finch;MIN;;1;1;;41;16;25;41;16;25;41;16;25;0.39;;;;;;;;;;;2021
