;full_name;Tm;POS;GS
159;DeAaron Fox;sac;PG;1.0
160;Maurice Harkless;sac;SF;0.0
161;Richaun Holmes;sac;C;0.0
162;Jeremy Lamb;sac;SG;0.0
163;Alex Len;sac;C;0.0
164;Trey Lyles;sac;PF;1.0
165;Chimezie Metu;sac;PF;0.0
166;Davion Mitchell;sac;PG;1.0
167;Donovan Mitchell;utah;SG;1.0
168;Neemias Queta;sac;C;0.0
169;Domantas Sabonis;sac;PF;1.0
170;Deandre Ayton;pho;C;1.0
171;Bismack Biyombo;pho;C;0.0
172;Devin Booker;pho;SG;1.0
173;Mikal Bridges;pho;SF;1.0
174;Mikal Bridges;pho;SF;1.0
175;Miles Bridges;cha;SF;1.0
176;Miles Bridges;cha;SF;1.0
177;Torrey Craig;pho;SF;0.0
178;Jae Crowder;pho;PF;1.0
179;Cameron Johnson;pho;SF;1.0
180;Jalen Johnson;atl;SF;1.0
181;David Johnson;tor;PG;1.0
182;Keon Johnson;por;SG;1.0
183;Alize Johnson;no;F;1.0
184;James Johnson;bkn;PF;1.0
185;Keldon Johnson;sa;SF;1.0
186;Stanley Johnson;lal;PF;1.0
187;Frank Kaminsky;pho;PF;0.0
188;Gabriel Lundberg;pho;F;0.0
189;JaVale McGee;pho;C;0.0
190;Chris Paul;pho;PG;0.0
191;Cameron Payne;pho;PG;1.0
192;Elfrid Payton;pho;PG;0.0
193;Gary Payton;gs;SG;0.0
194;Dario Saric;pho;PF;0.0
195;Landry Shamet;pho;SG;0.0
196;Ish Wainright;pho;F;0.0
197;Malik Beasley;min;SG;0.0
198;Patrick Beverley;min;PG;1.0
199;Leandro Bolmaro;min;SG;0.0
200;Anthony Edwards;min;SF;1.0
201;Kessler Edwards;bkn;SF;1.0
202;Nathan Knight;min;F;0.0
203;Jake Layman;min;SF;0.0
204;Jaden McDaniels;min;PF;0.0
205;Jalen McDaniels;cha;PF;0.0
206;Jordan McLaughlin;min;PG;0.0
207;Jaylen Nowell;min;SG;0.0
208;Josh Okogie;min;SF;0.0
209;Taurean Prince;min;PF;0.0
210;Naz Reid;min;C;0.0
